,shopname,description,web,adress,district,neighbourhood,location,type,timetable,photo,product_list,phone
740,Patchcat,"Botiga amb venda d'estris i elements per a fer patchwork i manualitats.<br />
Fan reutilització de roba, cursos de recuperació de mobles, reutilització de caixes, confecció de bosses,... que després poden vendre. Fan bosses de cotó per vendre la guata i reutilitzar en properes compres. Tenen fil de cotó bio per teixir i de cotó 100%.",,València 431,Eixample,Sagrada Família,"('41,40244950', '2,17585810')",green space,,,,
741,Bureau Vallée,"Tenen llibretes de paper reciclat, tòner eco i llapis eco. Carpetes i carpesans a partir de paper reciclat, col·lecció de motxilles i estoigs ""save the ocean"", elaborats a partir de plàstic del mar reciclat. Bolígrafs de plàstic reciclat d'ampolles.",http://bureau-vallee.es/barcelona-sagrada-familia/,Provença 504,Eixample,Sagrada Família,"('41,40660770', '2,17749890')",others,,,,
742,Pura vida,Botiga d'herbodietètica i osteopatia. Tenen aliments biològics i cosmètica bio. Medicina fitoterapèutica i ortomolecular,https://shencorpore.es,"Carrer de Cartagena, 222",Eixample,Sagrada Família,"('41,40668760', '2,18043570')",supermarket,,,,
743,El graner,"Tenen producte a granel, tant d'alimentació com neteja, també tenen selecció de productes eco i bio. Algun producte de comerç just. Afavoreixen portar l'envàs amb un descompte.",https://elgraner.food.blog/,Provença 495,Eixample,Sagrada Família,"('41,40676810', '2,17734380')",restaurant,,,,
750,Lettuce family,Botiga de venda de fruita i verdura amb selecció de productes ecològics i de proximitat,http://www.lettucefamily.com,"Astúries, 8",Gràcia,Vila de Gràcia,"('41,40271860', '2,15335250')",others,,,,
751,La mama vaca,"Botiga de criança sostenible. Productes de puericultura. Fan tallers i activitats pre i post part. Tenen selecció de productes de cosmètica bio i natural, km 0, bolquers reutilitzables i recanvis, roba de cotó orgànic, selecció vaixella eco i calçat vegà.<br />
<br />
Automatically translated with Google Translate API.<br />
 ",http://www.lamamavaca.com,"Rambla del Prat, 25",Gràcia,Vila de Gràcia,"('41,40106300', '2,15153990')",local food,,,,
752,De tela,Botiga especialitzada en venda de bolquers de tela reutilitzables. Ecocriança i comètica bio,http://detela.cat,"Carrer de Puigmartí, 48",Gràcia,Vila de Gràcia,"('41,40235850', '2,16081490')",local food,,,,
753,Vinoteca de Gràcia. Wine Palace,Botiga de venda de vins orgànics. Tenen selecció de vins a granel i embotellats. Amb ampolles i garrafes de retorn de vidre,https://www.winepalace.es/es/tiendas/544000024/vinoteca-de-gracia-by-wine-palace,"Verdi, 67",Gràcia,Vila de Gràcia,"('41,40479310', '2,15576690')",others,,,,
754,Rekup & Co,Botiga de venda de mobles de fusta recuperada. Productes de decoració. Tot reciclat,https://www.rekupandco.com,"Carrer de Verdi, 63",Gràcia,Vila de Gràcia,"('41,40465300', '2,15591600')",restaurant,,,,
755,La besnéta,Botiga de venda de pastisseria vegana. Tots els productes són de producció pròpia. Fan servir farines ecològiques i fruita de proximitat. Tenen selecció de begudes i melmelades de proximitat. Tot vegà,http://www.labesneta.com,"Torrijos, 37",Gràcia,Vila de Gràcia,"('41,40387340', '2,15826510')",supermarket,,,,
756,EcoLògic,Botiga de venda de productes frescos ecològics. Tenen fruita i verdura de proximitat i begudes eco,http://www.eco-logic.cat,"Plaça de la llibertat, 6",Gràcia,Vila de Gràcia,"('41,40009150', '2,15370130')",beverages,,,,
757,Gra de Gràcia Astúries,"Botiga de venda de producte a granel de proximitat i ecològic. Ofereixen envasos biodegradables, bosses de paper o envasos de vidre i bosses de roba reutilitzables. Més l’opció de portar el propi envàs i tenir descompte. També tenen begudes i productes aptes per intoleràncies alimenticies. ",https://gradegracia.cat,"Astúries, 26",Gràcia,Vila de Gràcia,"('41,40321440', '2,15418600')",supermarket,,,,
758,Gra de Gràcia Puigmartí,"Botiga de venda de producte a granel de proximitat i ecològic. Ofereixen envasos biodegradables, bosses de paper o envasos de vidre i bosses de roba reutilitzables. Més l’opció de portar el propi envàs i tenir descompte. També tenen begudes i productes aptes per intoleràncies alimenticies. ",https://gradegracia.cat,"Puigmartí, 11",Gràcia,Vila de Gràcia,"('41,40153040', '2,15905450')",supermarket,,,,
759,Artipà,Botiga de venda de pa i pastisseria fets amb farines ecològiques i aptes per a intoleràncies alimenticies,http://www.artipa.cat,"Travassera de Gràcia, 245",Gràcia,Vila de Gràcia,"('41,40416440', '2,16211450')",local food,,,,
760,Agrícola Mau,Fruiteria i verduleria ecològica. Selecció de productes eco,,"Mare de déu dels desamparats, 25",Gràcia,Vila de Gràcia,"('41,40236330', '2,15845830')",beverages,,,,
761,Les biològiques,"Botiga de venda de productes d’alimentació ecològics, de proximitat i a granel, fitoteràpia, criança natural, bolquers de roba i copes menstruals i sabons ecològics a granel. ",,"Milà i Fontanals, 33",Gràcia,Vila de Gràcia,"('41,40150600', '2,16195420')",supermarket,,,,
762,Carnisseria Diego,"Botiga de venda de carn ecològica. Tenen vedella, xai i pollastre. Hamburgueses d'elaboració pròpia",,"Puigmartí, 5",Gràcia,Vila de Gràcia,"('41,40137600', '2,15881330')",local food,,,,
763,Mina mina workshop,Botiga de venda de teles. Tenen cotons orgànics estampats i fan tallers de reaprofitament,http://minaminero.blogspot.com/,"Plaça de la Virreina, 7",Gràcia,Vila de Gràcia,"('41,40476060', '2,15710420')",bakery,,,,
783,Les 9 fonts,"Centre de teràpies i productes naturals; tenen selecció de productes d'alimentació biològics, fan massatges, tenen cosmètica biològica i natural. Medicina ortomolecular i fitoteràpia. ",https://www.les9fonts.com/,"Carrer de Casanova, 63",Eixample,L'Antiga Esquerra de l'Eixample,"('41,38513670', '2,15900200')",beverages,,,,
785,Catalunya Freedom,Roba de cotó orgànic produïda a Mataró i de disseny propi,http://www.catalunyafreedom.cat,"Carrer de Mallorca, 197",Eixample,L'Antiga Esquerra de l'Eixample,"('41,39017660', '2,15750610')",supermarket,,,,
786,Strata bakery,"Pastisseria amb productes vegans (pastissos, pastes, empanades) tot d'elaboració pròpia per a emportar.",www.stratabakery.com,"Carrer de Provença, 158",Eixample,L'Antiga Esquerra de l'Eixample,"('41,38789940', '2,15258860')",bakery,,,,
787,Farmàcia provença 156,"Tenen compreses de cotó orgànic, copa menstrual, linia de cosmètica pròpia i fan fòrmules magistrals.",http://www.farmaciaprovenza156.com/es/,"Carrer de Provença, 156",Eixample,L'Antiga Esquerra de l'Eixample,"('41,38784390', '2,15251480')",alimentation,,,,
788,Cloudstreet bakery,Forn de pa 100 % ecològic. Fan massa mare i tenen forn de llenya. Treballen amb diferents tipus de farines ecològiques i també fan pastes amb un 90% d'ingredients ecològics.,https://www.cloudstreet.es/,"Carrer del Rosselló, 112",Eixample,L'Antiga Esquerra de l'Eixample,"('41,38847000', '2,15108800')",bakery,,,,
789,BioPompas El Ninot,"Productes de neteja per a la llar, detergents, higiene i cura personal i rentat de roba biodegradables a granel amb envasos reutilitzables. També tenen una linia d'higiene animal, personal i ecològica..",https://biopompas.com/,"Carrer Mallorca, 150",Eixample,L'Antiga Esquerra de l'Eixample,"('41,38770170', '2,15457690')",bakery,,,,
790,Uve-i vinaters,"Botiga amb venda de vins ecològics, biodinàmics, naturals i de proximitat. Tenen vins envasats en back in box (envasos 5 llitres)",,"Carrer de Casanova, 76",Eixample,L'Antiga Esquerra de l'Eixample,"('41,38591050', '2,15827960')",vegan food,,,,
791,Casa Ruiz Granel Selecto (Aribau),"Botiga amb venda a granel de llegums, fruits secs, arrossos, pastes, cereals, grans, farines, sèmoles, espècies,  tes, infusions, llavors, cacaus, xocolata, fruites deshidratades, algues i bolets deshidratats. També tenen selecció de productes ecològics i de proximitat.<br />
Altres botigues als carrers <a href=""https://www.bcnsostenible.cat/web/punt/casa-ruiz-granel-selecto-bruc"" target=""_blank"">Bruc </a>i <a href=""https://www.bcnsostenible.cat/web/punt/casa-ruiz-granel-selecto"" target=""_blank"">Muntaner</a>.",https://casaruizgranel.com/ca/,"Carrer d'Aribau, 169",Eixample,L'Antiga Esquerra de l'Eixample,"('41,39331370', '2,15238810')",others,,,,
792,Columpiu,Mobles i objectes diversos de segona mà,,"Carrer de Casanova, 159",Eixample,L'Antiga Esquerra de l'Eixample,"('41,39115830', '2,15097130')",alimentation,,,,
793,Vins & Co,"Botiga amb oferta de vins catalans de petita producció; el 100% de l'oferta és de proximitat. Tenen vins ecològics, biodinàmics i naturals.",http://www.vinsandco.cat,"Carrer d'Aribau, 177",Eixample,L'Antiga Esquerra de l'Eixample,"('41,39389230', '2,15190030')",green space,,,,
798,Perruqueria Integral Barcelona,Perruqueria amb venda de productes naturals i ecològics. Fan tractaments de bellesa i de prerruqueria amb els mateixos productes.,https://www.integral.barcelona,"Carrer del Comte Borrell, 205",Eixample,La Nova Esquerra de l'Eixample,"('41,38520420', '2,15211030')",beverages,,,,
799,Casa Artesà,"Queviures amb productes d'alimentació 100% ogànics, ecològics i /o biològics. Tenen fruita i verdura de proximitat i ecològica, grans, pasta, farines i llegums a granel, begudes, tes i melmelades ecològiques.",https://www.casaartesa.com,"Carrer de Rocafort, 109",Eixample,La Nova Esquerra de l'Eixample,"('41,37986120', '2,15220180')",beverages,,,,
800,Super Orgànic,"Supermercat de productes ecològics. Tenen articles de cosmètica, neteja, alimentació, fruita i verdura, productes frescos, congelats, làctics, embutits, menjar preparat i hamburgueses vegetals. ",,"Carrer de Llançà, 56",Eixample,La Nova Esquerra de l'Eixample,"('41,38059290', '2,14516910')",green space,,,,
801,Petit pijama,Botiga infantil especialitzada en pijames. Tenen roba de nadó de cotó orgànic i gairebé tota l'oferta és de proximitat. També venen joguines i contes,https://www.petitpijama.com,Roselló 38,Eixample,La Nova Esquerra de l'Eixample,"('41,38520330', '2,14677430')",others,,,,
802,Granel Eixample,"Cereals, llegums, gra, farines, pasta, arrossos, fruits secs, olis, ous, algues de proximitat i a granel. Tenen vins, sucs i caves de proximitat. Herbes, deshidratats i tes a granel. També ofereixen fruita i verdura de proximitat de petits productors. ",https://granel.cat/ca/,"Carrer d'Entença, 191",Eixample,La Nova Esquerra de l'Eixample,"('41,38508720', '2,14320180')",bakery,,,,
804,Fruites Ester,Fruites i verdures de proximitat i de temporada,,Vilamari 35,Eixample,Sant Antoni,"('41,37646590', '2,15214200')",alimentation,,,,
805,Roba interior La Torre,Roba interior de cotó orgànic i/o de proximitat,,Plaça Universitat 4,Eixample,Sant Antoni,"('41,38483000', '2,16360000')",green space,,,,
806,Farmàcia Riba,"Tenen compreses de cotó orgànic, copa menstrual, cosmètica bio, alimentació ecològica per a bebès, comsètica bio per a bebès i pitets de cotó orgànic.",www.farmaciaribagranvia.com,Gran Via 470,Eixample,Sant Antoni,"('41,37955290', '2,15559890')",supermarket,,,,
807,Farmàcia Agustí Pujades,"Venda de productes cosmètics ecològics, copa menstrual i compreses de cotó orgànic. Fan fòrmules magistrals i tenen una linia de cosmètica natural pròpia.",,Avinguda Mistral 48,Eixample,Sant Antoni,"('41,37629710', '2,15464930')",beverages,,,,
808,Jovani Vins,"Vins ecològics i de proximitat, biodinàmics i naturals. Formatges ecològics i de proximitat",www.jovanivins.com,Compte borrell 30,Eixample,Sant Antoni,"('41,37673690', '2,16363830')",green space,,,,
809,Bebe-té,Tes a granel. Tenen una selecció de productes d'alimentació de proximitat. Fan descompte si es porta l'envàs,www.bebe-te.com,Parlament 7,Eixample,Sant Antoni,"('41,37566400', '2,16132710')",alimentation,,,,
810,La deessa del bosc,"Venda d'herbes a granel. Tenen alimentació envasada ecològica, mel de proximitat, begudes i frescos ecològics. Cosmètica ecològica i/o biològica.",www.ladeessadelbosc.com,Manso 34,Eixample,Sant Antoni,"('41,37655390', '2,16061630')",local food,,,,
811,Idoni,"Venda de llegums, gra, arrossos, farines, fruits secs i condiments a granel. Productes ecològics i biològics envasats d'alimentació. Begudes i llegum cuita de proximitat a granel. Fan menjar de proximitat i/o ecològic preparat per emportar. Pots comprar i retornar ampolles de vi per la seva reutilització ja que està adherit al projecte <a href=""http://www.rewine.cat/"">Rewine</a>.",www.idoni.cat,Avinguda Mistral 20 bis,Eixample,Sant Antoni,"('41,37690050', '2,15678590')",green space,,,,
812,Casa Ramona,"Espai destinat a la venda de productes agroalimentaris a granel, com pastes, gra, fruita seca, galetes, mels, melmelades, fruita deshidratada, cereals, farines, arrossos, cafe, cacau, sals, sucres, olives, llegums, cereals, llavors, tesm herbes aromàtiques, infusions, ous ecològics, vins, cerveses artesanes, texturitzats. Posant especial atenció en els productes locals, ecològics o saludables, incentivant el seu coneixement i cosum, i alhora, lliure d'envasos de plàstic, no produint cap mensa de residu no degradable al medi ambient, en definitiva promouen una compra saludable, responsable i sostenible.",www.casaramona.bio,Tamarit 134,Eixample,Sant Antoni,"('41,37745790', '2,15956830')",local food,,,,
813,The living food,"Venda de productes ecològics envasats i cosmètica bio. També tenen productes de neteja ecològics i fan formatges orgànics, crudivegans i lactofermentats",www.thelivingfood.com,Viladomat 85,Eixample,Sant Antoni,"('41,37878090', '2,15809000')",green space,,,,
814,Dietètica Condal,"Botiga de productes dietètics, plantes medicinals, suplements naturopàtics, aliments ecològics i cosmètica natural orgànica.<br />
<br />
Davant la nova situació de crisi sanitària, a la diatètica condal han incorporat nous serveis de venta a domicili a través de la seva botiga online i via Whatsapp al 629884508.",https://www.dieteticacondal.com/,"Carrer Comte d'Urgell, 8",Eixample,Sant Antoni,"('41,37928640', '2,16261140')",beverages,,,,
840,El Rebost de Can Peradalta,Carnisseria amb àmplia oferta de producte de proximitat. També disposa d'alguns productes amb cerfificació ecològica.,,"Avinguda de Madrid, 39",Les Corts,La Maternitat i Sant Ramon,"('41,37726040', '2,12508730')",local food,,,,
841,Visalut,"Herbolari on es pot trobar suplementació natural, dietètica ecològica, teràpies alternatives i cosmètica natural. També s'hi pot trobar productes d'alimentació ecològics i sistema de cistelles. ",https://www.besalut.com/,"Carrer de Vilamur, 15",Les Corts,Les Corts,"('41,38677702', '2,13333410')",green space,,,,
842,Cal Fruitós,Venda de fruites i verdures amb oferta ecològica i de proximitat. També es poden trobar olives i fuits secs a granel i productes artesans com pizzes. ,https://www.calfruitos.com/,"Carrer de Lluçà, 38",Les Corts,Les Corts,"('41,38254690', '2,13088320')",green space,,,,
843,Pastisseria Jaume,Pastisseria artesana des de 1970 amb obrador propi. ,,"Carrer de Joan Güell, 135",Les Corts,Les Corts,"('41,38196400', '2,13174030')",restaurant,,,,
844,Naty Blanco Estilistes,"Saló de perruqueria Unisex i venda de productes ecològics. <br />
Treballen tot amb productes de la casa AVEDA, que produeix amb energia 100% eòlica, molts productes són  derivats d'ingredients naturals, algun producte orgànic certificat",http://estilistasnatyblanco.com/,"Travessera de les Corts, 340",Les Corts,Les Corts,"('41,38940950', '2,13972810')",bakery,,,,
845,La Peculiar,"Vi a granel, de proximitat i ecològic, fruits secs a granel, olis de proximitat. Disposen d'envàs reutilitzable per al vermut a granel. ",,"Carrer de Can Bruixa, 23 - 33",Les Corts,Les Corts,"('41,38424420', '2,13253710')",green space,,,,
846,Divines Temptacions,"Forn de pa amb obrador propi. Tot el producte es fa a l'obrador, sense additius, massa mare amb farines ecològiques. ",http://divinestemptacions.com/,"Carrer del Comandant Benítez, 8",Les Corts,La Maternitat i Sant Ramon,"('41,37977000', '2,12719000')",bakery,,,,
847,Àgape ,Herbolari de teràpies de salut i nutrició conscient. Productes a granel i/o ecològics. ,http://agapebcn.com/,"Carrer de Felipe de Paz, 6",Les Corts,La Maternitat i Sant Ramon,"('41,37970960', '2,12596070')",vegan food,,,,
848,Esenzial,"Perruqueria amb venda de productes amb certificat ecològic. Productes sense parabens, sense derivats del petroli, extractes fito i biològics.",,"Carrer de Sants, 384",Les Corts,La Maternitat i Sant Ramon,"('41,37584120', '2,12219080')",supermarket,,,,
849,Agapezur,"Perruqueria ecològica a domicili. <br />
Treballa exclusivament amb producte sostenible, ecològic i natural. Productes no testats en animals.",,,Sarrià - Sant Gervasi,,"('41,39824329', '2,12585250')",others,,,,
857,Biaitee,"Moda Urbana per home, dona i nens/es feta a mà a Barcelona, a més de complements fets per altres dissenyadors locals. Teles reciclades, producció i reformes pròpies.",http://www.biaitee.cat/,"Carrer dels Carders, 28",Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","('41,38674840', '2,18035680')",beverages,,,,
858,Herbolari El Bosquet,"Herbolari tradicional des de 1935 amb servei de naturopatia i oferta de plantes, fòrmules pròpies i personalitzades a granel. A més d'altres productes naturals. ",https://ajuntament.barcelona.cat/ciutatvella/comerc/es/herbolari-el-bosquet,"Carrer de Colomines, 2",Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","('41,38551430', '2,17890210')",local food,,,,
859,IVORI,"IVORI és un espai acollidor i seductor dedicat al disseny català 100%. Roba, sabates, bosses i complements, curosament seleccionats per Carola Alexandre per oferir un producte de qualitat alhora que original, atractiu i assequible.",http://www.ivoribarcelona.com/,"Carrer dels Mirallers, 7",Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","('41,38412760', '2,18082140')",vegan food,,,,
861,Rosanna DLR - Pl. Sant Pere,"A Rosanna DLR trobaràs les col·leccions de bijuteria artesanals dissenyades per Rosanna de la Riva, aportant més de 36 anys d'experiència i creativitat a la marca. En el seu taller del barri Gòtic de Barcelona crea constantment peces úniques i especials. <br />
El seu propòsit és oferir bijuteria feta a Barcelona als que busquen productes locals i de qualitat. <br />
 ",http://www.rosannadlr.com/,"Plaça de Sant Pere, 13",Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","('41,38930430', '2,17887680')",bakery,,,,
862,Rosanna DLR - Pl. de la Llana,"A Rosanna DLR trobaràs les col·leccions de bijuteria artesanals dissenyades per Rosanna de la Riva, aportant més de 36 anys d'experiència i creativitat a la marca. En el seu taller del barri Gòtic de Barcelona crea constantment peces úniques i especials. <br />
El seu propòsit és oferir bijuteria feta a Barcelona als que busquen productes locals i de qualitat. <br />
 ",http://www.rosannadlr.com/,"Plaça de la Llana, 14",Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","('41,38498320', '2,17942010')",bakery,,,,
863,Santa Siesta,"Botiga de marca pròpia  especialitzada en tèxtil per la llar, fet a partir de teixits reutilitzats, i complements, tot fet 100% a Barcelona.  Tel·ler i confecció pròpies. Alguns complements com espelmes artesanals, naturals i sabons, olis,...",http://www.santasiesta.com/,"Carrer de la Dagueria, 14",Ciutat Vella,Barri Gòtic,"('41,38312240', '2,17821380')",vegan food,,,,
864,Kabraloka,Roba de nens i nenes de producció artesanal i 100% local pintada a mà. En alguns casos feta a partir de la reutilització de teixits antics o de cotó orgànic.,http://kabraloka-bcnkabraloka.blogspot.com/,"Ciutat, 14",Ciutat Vella,Barri Gòtic,"('41,38183000', '2,17846760')",beverages,,,,
865,Dualart disseny,"Dualart és la botiga-taller d'Amparo Valencia i Isabel Arlà, dissenyadores de joies i gemmòlogues, on crean i exposen les seves pròpies coll·leccions. També trobaràs joia, pintura, escultura i artesanía d'altres autors. Es realitzen peces exclusives, encàrrecs personalitzats, cursets monogràfics i recuperació de joies antigues. ",http://www.dualart.es/,"Carrer del Pas de l'Ensenyança, 2",Ciutat Vella,Barri Gòtic,"('41,38191050', '2,17675870')",beverages,,,,
866,Yellow Bakery,"Yellow Bakery és un forn de pa on tots els seus productes són fets a base d'una massa mare orgànica a l'obrador situat al mateix local de forma artesanal. Les farines i vegetals utilitzats són locals i ecològics. A més a més, no generen residus ja que tot el que sobra ho reparteixen a gent més necessitada cada nit. ",http://yellowbakery.es/ca/,"Carrer del Regomir, 4.B",Ciutat Vella,Barri Gòtic,"('41,38143840', '2,17909260')",others,,,,
867,Konfetti.Kids,"Konfetti Kids ofereix moda i complements pels petits de 0 a 8 anys. En aquesta botiga s'hi reuneixen un munt de marques europees, que treballen amb cotó orgànic la majoria, i que tenen una gran qualitat i un estil desenfadat, modern i unisex. També hi podem trobar cosmètica natural i ecològica per nens i nenes. Raspalls de bambú, rossegadors de goma natural fets a ma a l'India, joguines de fusta.",https://konfetti-kids.com/,"Baixada de Viladecols, 2",Ciutat Vella,Barri Gòtic,"('41,38200830', '2,17927680')",bakery,,,,
868,Farmàcia M.Gironès Saderra,"Farmàcia especialitzada en productes naturals, medicinals i cosmètics. ",,"Carrer Escudellers, 8 ",Ciutat Vella,Barri Gòtic,"('41,37920000', '2,17608270')",local food,,,,
869,Home on Earth. Gòtic,"Home on Earth neix al 2001 de la mà d'una parella danesa-alemany, obren la primera de les seves botigues el 2010, la segona al 2014 i a inicis de l'any 2019 obren la tercera botiga a Barcelona. Ofereixen productes naturals i sostenibles per la llar amb un disseny nordic.<br />
<br />
Treballen conjuntament amb artesans d'arreu amb els qui han conviscut durant anys, sempre amb els mateixos i amb un tracte directe i just. Dins de la seva exquisita varietat pots trobar articles per la casa, utils de cuina, artícles de yoga, hamaques, bosses, joyeria... A més a més, treballen amb associacions socials inclusives com Estel Tapia o Barmhärzige Brüder a Austria.<br />
<br />
Home on earth utilitza quasi de forma exclusiva materials naturals com bambú, llana, coco, mango, cotó i cànem. L’ús de materials reciclats i reutilitzats, així com l’eficiència energètica són conceptes clau a l’hora de seleccionar nous productes per a la venda. ",http://www.homeonearth.com,"Carrer de la Boqueria, 14",Ciutat Vella,Barri Gòtic,"('41,38146700', '2,17422770')",beverages,,,,
